month,average_price
2015-01-31,414.5632310095317
2015-02-28,689.0001382656583
2015-03-31,1260.4921536742393
2015-04-30,1712.2175304484713
2015-05-31,1668.6491184228562
2015-06-30,1363.3389223086692
2015-07-31,1652.1059625926111
2015-08-31,2025.1789401520068
2015-09-30,2297.864659659266
2015-10-31,2422.1060727923605
2015-11-30,2388.896908505587
2015-12-31,2385.4127736764744
2016-01-31,2521.0528842263134
2016-02-29,2199.9478278082106
2016-03-31,1636.2731364585272
2016-04-30,1921.748598997247
2016-05-31,1713.9843191156835
2016-06-30,1759.5890868169795
2016-07-31,2046.5115458602093
2016-08-31,2190.208425732954
2016-09-30,2610.143125662594
2016-10-31,3593.3496753188847
2016-11-30,3062.0547815283603
2016-12-31,2329.206655938921
2017-01-31,2467.2702458646304
2017-02-28,2577.778593120768
2017-03-31,2799.046343989319
2017-04-30,2932.024534759174
2017-05-31,2411.162562259536
2017-06-30,2542.7088665484293
2017-07-31,2406.4398688347305
2017-08-31,2355.942161907025
2017-09-30,1885.5603057710464
2017-10-31,2050.542989777688
2017-11-30,2875.8966089700352
2017-12-31,3916.720984708209
2018-01-31,3363.4394407334057
2018-02-28,4085.297884238775
2018-03-31,4364.661313587869
2018-04-30,3855.5862043246825
2018-05-31,5143.821287531567
2018-06-30,4527.547383192499
2018-07-31,5390.262457495715
2018-08-31,5973.785847846235
2018-09-30,5344.153852240626
2018-10-31,5840.177914151256
2018-11-30,5359.967538466282
2018-12-31,5550.176203242585
2019-01-31,4959.867278257461
2019-02-28,4101.186174797824
2019-03-31,3732.485507300816
2019-04-30,3387.6201295600986
2019-05-31,2687.006326616151
2019-06-30,2057.3031327040726
2019-07-31,1761.3707295831807
2019-08-31,1422.8334969683344
2019-09-30,1702.2110516800622
2019-10-31,1579.9343245625682
2019-11-30,1141.4187512314788
2019-12-31,898.0172603299146
