month,average_price
2015-01-31,1872.8424578693368
2015-02-28,1821.895878008049
2015-03-31,1584.392130123186
2015-04-30,1573.2331893043026
2015-05-31,1637.163652545131
2015-06-30,1468.0178672717166
2015-07-31,1320.1319924800216
2015-08-31,1318.00347519697
2015-09-30,1374.8820809278884
2015-10-31,1212.278569102609
2015-11-30,1029.9186590165684
2015-12-31,860.0343084527664
2016-01-31,930.2277686765448
2016-02-29,917.8067626819296
2016-03-31,712.2789320245498
2016-04-30,669.4354097253997
2016-05-31,660.1173988075814
2016-06-30,614.1165498052576
2016-07-31,665.6789767995609
2016-08-31,845.7588487441207
2016-09-30,917.3304378959702
2016-10-31,858.7191550519287
2016-11-30,886.5123896561585
2016-12-31,977.3776142352654
2017-01-31,902.1164793787134
2017-02-28,803.578915682387
2017-03-31,783.3137865574568
2017-04-30,783.8552105842198
2017-05-31,644.4323396194162
2017-06-30,608.4597086846335
2017-07-31,449.5807869930904
2017-08-31,394.07019334251066
2017-09-30,356.07000280827333
2017-10-31,355.2838038846742
2017-11-30,298.2634863853368
2017-12-31,224.1445426185618
2018-01-31,226.43115954664455
2018-02-28,212.6316470645152
2018-03-31,156.3931690083668
2018-04-30,122.6727340680698
2018-05-31,116.18121146755992
2018-06-30,111.46694009074206
2018-07-31,117.48485454900636
2018-08-31,113.5257298131569
2018-09-30,104.34011567762704
2018-10-31,96.49751909034616
2018-11-30,92.5604090579354
2018-12-31,95.82496236768031
2019-01-31,91.18305848593415
2019-02-28,71.32335843719767
2019-03-31,63.393761727791926
2019-04-30,67.13403825107447
2019-05-31,59.36360139699196
2019-06-30,45.599165941952585
2019-07-31,49.04890301841983
2019-08-31,51.51977030061498
2019-09-30,51.68645698994915
2019-10-31,36.28906287084151
2019-11-30,28.55103635649597
2019-12-31,28.97130702071082
