month,average_price
2015-01-31,4.858852280915428
2015-02-28,5.887046962728421
2015-03-31,7.237218783078384
2015-04-30,8.862149987597125
2015-05-31,10.042951113479594
2015-06-30,10.8345178625232
2015-07-31,11.57635355027306
2015-08-31,12.37989384451691
2015-09-30,13.595048247241031
2015-10-31,15.50690279728118
2015-11-30,16.260404513309123
2015-12-31,17.209570559117445
2016-01-31,16.558563052972197
2016-02-29,17.387415454535784
2016-03-31,18.013085561176187
2016-04-30,19.613484379816416
2016-05-31,19.54020235682698
2016-06-30,20.96500854815013
2016-07-31,21.189636591882817
2016-08-31,19.74826691046053
2016-09-30,19.43136642593173
2016-10-31,22.513843470875575
2016-11-30,28.00622859576159
2016-12-31,36.75923536624207
2017-01-31,42.71962559547299
2017-02-28,45.78894824767292
2017-03-31,58.82363910150854
2017-04-30,65.5834639295733
2017-05-31,69.71298674163259
2017-06-30,75.46291154648893
2017-07-31,78.9072093929932
2017-08-31,85.95972051212787
2017-09-30,85.32829389108676
2017-10-31,93.77292692390763
2017-11-30,96.55327915343014
2017-12-31,98.30590314995648
2018-01-31,104.31162885020134
2018-02-28,115.33180645577468
2018-03-31,132.0941019226365
2018-04-30,134.8388053661259
2018-05-31,149.3828002405196
2018-06-30,170.01047361567336
2018-07-31,170.28792815882153
2018-08-31,179.89149917894568
2018-09-30,199.11655277944777
2018-10-31,215.34437883990643
2018-11-30,233.84440387054136
2018-12-31,256.29612126492987
2019-01-31,224.3948088212059
2019-02-28,248.20300438132435
2019-03-31,263.4642069722461
2019-04-30,268.9214840636445
2019-05-31,258.5624010897567
2019-06-30,253.33206604964383
2019-07-31,294.25797555132647
2019-08-31,309.35916113144634
2019-09-30,315.3265473031484
2019-10-31,363.6274845430409
2019-11-30,383.74475414550784
2019-12-31,425.33998998227366
